Intent,Utterance,Response,Language,Keywords,Confidence Threshold
Location,h0w t0 g0 t0 y0ur plac3?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Where r u located at?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Where can I find your school?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,I need ur adrres plz,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,c@n i h@ve ur l0cat1on plz?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,What's your school's street address?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,San ang sakt0ng loct10n?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,s@n mk@punta sa opisina ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,h0w can i c0m3 t0 ur pl@c3?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,s@n ang pwesto ng opisina ng skwela?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,wh3r3 1s ur @ddr3ss?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Saan lugar ang school niyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,wH@ts ur l0c@tion p1z?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,wht's the addrss for the school?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,P@nu mkpunta ng direksy0n?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Saan po ang driving school ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,as@n p0 ang l0cat1on ny0 sa maps?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Where are you based?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Which area is your driving school in?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Saan ako mak2punta f0r lesons?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,san ang 0ffice nyo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Saan po matatagpuan ang pangunahing paaralan ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Wats ur school loaction?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Tel me where ur headquartes is,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Wher can I go to attend class?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,s@n mk@punta for ung l3ss0n?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Sn ang hq sa mapa?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Paano ko matatagpuan ang driving school niyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
