studentid,category,total,score,percentage,performance
1,Observation,20,20,100,Excellent
2,Space Management,20,17,85,Great
3,Speed Control,20,16,80,Poor
4,Steering,15,10,66.66666667,Poor
5,Communication,15,10,66.66666667,Poor
6,General,10,6,60,Poor
7,Observation,20,15,75,Poor
8,Space Management,20,19,95,Excellent
9,Speed Control,20,17,85,Great
10,Steering,15,14,93.33333333,Excellent
11,Communication,15,13,86.66666667,Great
12,General,10,5,50,Poor
13,Observation,20,12,60,Poor
14,Space Management,20,19,95,Excellent
15,Speed Control,20,11,55,Poor
16,Steering,15,12,80,Poor
17,Communication,15,10,66.66666667,Poor
18,General,10,10,100,Excellent
19,Observation,20,15,75,Poor
20,Space Management,20,16,80,Poor
21,Speed Control,20,16,80,Poor
22,Steering,15,11,73.33333333,Poor
23,Communication,15,14,93.33333333,Excellent
24,General,10,5,50,Poor
25,Observation,20,15,75,Poor
26,Space Management,20,17,85,Great
27,Speed Control,20,11,55,Poor
28,Steering,15,14,93.33333333,Excellent
29,Communication,15,13,86.66666667,Great
30,General,10,10,100,Excellent
31,Observation,20,12,60,Poor
32,Space Management,20,15,75,Poor
33,Speed Control,20,17,85,Great
34,Steering,15,13,86.66666667,Great
35,Communication,15,8,53.33333333,Poor
36,General,10,4,40,Poor
37,Observation,20,14,70,Poor
38,Space Management,20,20,100,Excellent
39,Speed Control,20,18,90,Excellent
40,Steering,15,15,100,Excellent
41,Communication,15,13,86.66666667,Great
42,General,10,8,80,Poor
43,Observation,20,11,55,Poor
44,Space Management,20,14,70,Poor
45,Speed Control,20,19,95,Excellent
46,Steering,15,14,93.33333333,Excellent
47,Communication,15,13,86.66666667,Great
48,General,10,4,40,Poor
49,Observation,20,19,95,Excellent
50,Space Management,20,16,80,Poor
51,Speed Control,20,14,70,Poor
52,Steering,15,10,66.66666667,Poor
53,Communication,15,13,86.66666667,Great
54,General,10,7,70,Poor
55,Observation,20,18,90,Excellent
56,Space Management,20,15,75,Poor
57,Speed Control,20,12,60,Poor
58,Steering,15,13,86.66666667,Great
59,Communication,15,14,93.33333333,Excellent
60,General,10,7,70,Poor
61,Observation,20,14,70,Poor
62,Space Management,20,12,60,Poor
63,Speed Control,20,18,90,Excellent
64,Steering,15,8,53.33333333,Poor
65,Communication,15,9,60,Poor
66,General,10,8,80,Poor
67,Observation,20,13,65,Poor
68,Space Management,20,17,85,Great
69,Speed Control,20,19,95,Excellent
70,Steering,15,15,100,Excellent
71,Communication,15,10,66.66666667,Poor
72,General,10,7,70,Poor
73,Observation,20,10,50,Poor
74,Space Management,20,13,65,Poor
75,Speed Control,20,12,60,Poor
76,Steering,15,13,86.66666667,Great
77,Communication,15,14,93.33333333,Excellent
78,General,10,6,60,Poor
79,Observation,20,11,55,Poor
80,Space Management,20,16,80,Poor
81,Speed Control,20,17,85,Great
82,Steering,15,11,73.33333333,Poor
83,Communication,15,14,93.33333333,Excellent
84,General,10,5,50,Poor
85,Observation,20,19,95,Excellent
86,Space Management,20,20,100,Excellent
87,Speed Control,20,18,90,Excellent
88,Steering,15,12,80,Poor
89,Communication,15,15,100,Excellent
90,General,10,8,80,Poor
91,Observation,20,15,75,Poor
92,Space Management,20,11,55,Poor
93,Speed Control,20,19,95,Excellent
94,Steering,15,11,73.33333333,Poor
95,Communication,15,14,93.33333333,Excellent
96,General,10,6,60,Poor
97,Observation,20,20,100,Excellent
98,Space Management,20,13,65,Poor
99,Speed Control,20,18,90,Excellent
100,Steering,15,11,73.33333333,Poor
101,Communication,15,10,66.66666667,Poor
102,General,10,4,40,Poor
